id	label
msxf3gr	aggression
mre5jeo	frustration
msgfvzd	emphasis
mr8t5no	frustration
msyighb	aggression
mrdy577	aggression
mst218y	bonding
mpfddyk	bonding
mqmifby	aggression
mrdu02f	frustration
mswrwd9	frustration
msaexvi	aggression
mt0vt57	bonding
mqrdtbg	aggression
msuu9wr	frustration
mt3fyfe	aggression
mrdxhrt	ambiguous
mt3hmr7	emphasis
mqo3zwx	aggression
mszrfd2	emphasis
mpl9snf	bonding
mrepgms	emphasis
mt20m8w	emphasis
mt3mb3t	bonding
mq6zg9h	frustration
mr6dgu9	emphasis
msvu6fh	bonding
mswmoh6	frustration
msz68ui	aggression
mt21f96	aggression
mqrsy4s	emphasis
mssvdja	aggression
msd7k4j	frustration
mqwg5qs	bonding
mt2xnm1	emphasis
mrceiul	frustration
mq80iti	ambiguous
mqhf4br	emphasis
mpfulq5	bonding
mqdyxuy	emphasis
mqjnu8f	aggression
mqj3i9z	frustration
mt3j0q1	emphasis
mrlat8l	frustration
mqcf6vb	aggression
mp4c70e	aggression
mt16cip	aggression
msk0521	frustration
mrh63pn	bonding
mszyemz	emphasis
mt42pmz	frustration
mpua6vp	aggression
mssg9mo	frustration
mp6t36w	aggression
mt3agia	emphasis
mrdx5vk	emphasis
mo7kn2t	aggression
mqej2vi	aggression
mt0a7ow	aggression
mq09bt7	frustration
msyez63	aggression
mrpuxbj	frustration
mpq1vc6	emphasis
mt07nvu	aggression
msskt9a	ambiguous
mt2miql	emphasis
mqxn7jo	frustration
mszxq20	emphasis
msgd9x1	aggression
mre0pn2	ambiguous
mpvj5ug	emphasis
mq06xf8	emphasis
mre5dmu	emphasis
msynedv	aggression
mr4qds2	frustration
mre3v1x	aggression
mq6l62q	emphasis
mqx2c67	ambiguous
mrd4vbg	aggression
msx83f2	aggression
msw5h0f	emphasis
mt05q7a	frustration
mqkuka5	frustration
mp0pwe9	bonding
moqv5gj	emphasis
mprp7ki	bonding
mpr2tt7	aggression
mqwx69h	aggression
ms5049z	aggression
mt3kdvw	frustration
mt0vutf	aggression
mo1mfpb	aggression
mqwzn8l	emphasis
mswnr67	aggression
mpribsw	bonding
mq23sdw	aggression
msxe4fz	bonding
mszwrte	frustration
msknwv6	aggression
mr5y50b	frustration
msofwpy	ambiguous
mrl93z4	aggression
mqh81qv	emphasis
mt1cqbc	frustration
mre5onn	emphasis
msl9vza	bonding
mphyqov	emphasis
mquaiy2	bonding
mrdxf0p	emphasis
mql8jsg	aggression
mr2d43d	aggression
mt3714u	aggression
mpp07ck	emphasis
mt2fah7	frustration
mt1fine	bonding
mrdc67m	frustration
mrzm7u2	aggression
msvx2hx	aggression
mssdkch	aggression
mt1l702	emphasis
mqyluqm	bonding
mszaaef	aggression
mrdz1ho	ambiguous
mre3028	emphasis
mqh8pvg	emphasis
msxg9nl	aggression
mqpccfg	emphasis
mqwoe90	bonding
mre2n9l	aggression
msueh17	aggression
mr8bqma	bonding
mrca1h5	aggression
mt0dy2d	aggression
mpxlm9j	bonding
msgcicl	bonding
mt43lxu	aggression
mszbmfx	aggression
mt05dvn	bonding
mrdy50n	aggression
mntj7au	bonding
mrduhcz	bonding
mr458lu	aggression
mre3zyo	bonding
mqaggl5	bonding
msxypas	bonding
mrdyvmp	bonding
mnt7t7u	bonding
mrilw38	bonding
mqmsjlf	bonding
mrmkg19	aggression
mt2ivxb	bonding
msed274	aggression
mspy7vj	bonding
mre4c8q	bonding
mt37zri	aggression
mre0g7z	aggression
msywgcq	aggression
mr2mei7	bonding
mt0gf7m	bonding
mr1ubnk	bonding
mskon5h	aggression
mt0lhw0	aggression
mriuymi	bonding
mr0hxsq	bonding
mqhi4z4	aggression
mpr61d3	aggression
msxgwvx	aggression
mspc5o7	aggression
msttv1r	aggression
ms3gms2	aggression
mse0ncp	bonding
mt25w9p	aggression
msh09pk	bonding
mnwds7y	bonding
mpcynks	bonding
mrdvmpf	aggression
mrzcn07	bonding
mrq2yw6	bonding
mswf69a	aggression
mqu7d8f	bonding
mswezv0	bonding
mpnvx29	aggression
mrdth2a	bonding
mstfw5m	aggression
msubwrj	bonding
msswkq4	aggression
mrdwg6g	bonding
mre0k5t	bonding
msn6jab	aggression
mqoy07k	aggression
mrtxr82	bonding
msup56m	bonding
msvekf5	aggression
msw99ux	bonding
mrdx736	aggression
msgrtfr	aggression
mszk399	aggression
mspapov	bonding
mr3415m	aggression
msxfeaw	aggression
mqy6o73	bonding
mrcs4pn	bonding
mpo2ok0	aggression
msw1c9f	aggression
msx80g5	bonding
msysqnx	bonding
mrdysk0	aggression
mqidtwz	bonding
mqw6uut	bonding
mqk0oge	bonding
mqefbgv	aggression
msueunx	ambiguous
mr3dujk	bonding
mqfs7h4	aggression
msw0v6a	bonding
mqdi8e1	ambiguous
ms5z993	aggression
mswfssm	bonding
msxh1ze	aggression
mqtn356	bonding
moisfxy	bonding
mt0em5c	aggression
msu4ncl	aggression
mswhyfg	bonding
mqsutmo	bonding
msvklrp	bonding
mqk7295	aggression
mr89uvw	bonding
mt3jftj	aggression
msxoyr2	aggression
mrl93b0	ambiguous
mrdxyjg	bonding
mt0ce0p	aggression
msp4dqe	aggression
mrdwpfs	bonding
mqt23at	aggression
mqso1fu	bonding
mq47hnv	aggression
msuqvtm	bonding
mswqi4e	aggression
mshyxmv	aggression
mszq43v	bonding
mt1oa3v	bonding
mq7bm21	bonding
mt0860f	aggression
mq6cuwd	bonding
