id	label
msxf3gr	aggression
mre5jeo	frustration
msgfvzd	emphasis
mr8t5no	frustration
msyighb	emphasis
mrdy577	emphasis
mst218y	aggression
mpfddyk	aggression
mqmifby	emphasis
mrdu02f	emphasis
mswrwd9	frustration
msaexvi	aggression
mt0vt57	emphasis
mqrdtbg	aggression
msuu9wr	frustration
mt3fyfe	emphasis
mrdxhrt	emphasis
mt3hmr7	emphasis
mqo3zwx	emphasis
mszrfd2	emphasis
mpl9snf	bonding
mrepgms	emphasis
mt20m8w	emphasis
mt3mb3t	emphasis
mq6zg9h	frustration
mr6dgu9	emphasis
msvu6fh	aggression
mswmoh6	aggression
msz68ui	aggression
mt21f96	aggression
mqrsy4s	aggression
mssvdja	aggression
msd7k4j	bonding
mqwg5qs	aggression
mt2xnm1	aggression
mrceiul	frustration
mq80iti	bonding
mqhf4br	emphasis
mpfulq5	emphasis
mqdyxuy	emphasis
mqjnu8f	aggression
mqj3i9z	frustration
mt3j0q1	emphasis
mrlat8l	emphasis
mqcf6vb	aggression
mp4c70e	emphasis
mt16cip	aggression
msk0521	frustration
mrh63pn	bonding
mszyemz	emphasis
mt42pmz	emphasis
mpua6vp	aggression
mssg9mo	emphasis
mp6t36w	frustration
mt3agia	emphasis
mrdx5vk	emphasis
mo7kn2t	aggression
mqej2vi	aggression
mt0a7ow	emphasis
mq09bt7	frustration
msyez63	emphasis
mrpuxbj	frustration
mpq1vc6	emphasis
mt07nvu	aggression
msskt9a	ambiguous
mt2miql	frustration
mqxn7jo	frustration
mszxq20	aggression
msgd9x1	aggression
mre0pn2	ambiguous
mpvj5ug	emphasis
mq06xf8	emphasis
mre5dmu	emphasis
msynedv	aggression
mr4qds2	frustration
mre3v1x	aggression
mq6i62q	emphasis
mqx2c67	emphasis
mrd4vbg	frustration
msx83f2	aggression
msw5h0f	aggression
mt05q7a	frustration
mqkuka5	frustration
mp0pwe9	bonding
mqov5gj	emphasis
mprp7ki	emphasis
mpr2ti7	frustration
mqwx69h	aggression
ms5049z	aggression
mt3kdvw	frustration
mt0vutf	aggression
mo1mfpb	aggression
mqwzn8l	aggression
mswnr67	aggression
mpribsw	bonding
mq23sdw	aggression
msxe4fz	emphasis
mszwrte	emphasis
msknwv6	bonding
mr5y50b	frustration
msofwpqy	emphasis
mrl93z4	frustration
mqh81qv	emphasis
mt1cqbc	emphasis
mre5onn	emphasis
msl9vza	emphasis
mphyqov	emphasis
mqualy2	bonding
mrdxf0p	ambiguous
mql8jsg	aggression
mr2d43d	aggression
mt3714u	aggression
mpp07ck	emphasis
mt2fah7	frustration
mt1fine	aggression
mrdc67m	aggression
mrzm7u2	emphasis
msvx2hx	aggression
mssdkch	aggression
mt1f702	emphasis
mqyluqm	emphasis
mszaaef	aggression
mrdz1ho	ambiguous
mre3028	emphasis
mqh8pvg	aggression
msxg9nl	aggression
mqpccfg	emphasis
mqwoe90	emphasis
mre2n9l	aggression
msueh17	emphasis
mr8bqma	frustration
mrca1h5	frustration
mt0dy2d	frustration
mpxlm9j	emphasis
msgcicl	emphasis
mt43ixu	emphasis
mszbmfx	aggression
mt05dvn	emphasis
mrdy50n	aggression
mntj7au	emphasis
mrduhcz	emphasis
mr458lu	emphasis
mre3zyo	emphasis
mqagql5	emphasis
msxypas	frustration
mrdyvmp	emphasis
mnt7t7u	emphasis
mrlw38	ambiguous
mqmsjlf	emphasis
mrmkg19	aggression
mt2lxkb	emphasis
msed274	emphasis
mspy7vj	emphasis
mre4c8q	ambiguous
mt37zri	aggression
mre0g7z	aggression
msywgcq	aggression
mr2mei7	emphasis
mt0gf7m	frustration
mr1ubnk	emphasis
mskon5h	frustration
mt0lhw0	aggression
mrluymi	frustration
mr0hxsq	emphasis
mqhi4z4	aggression
mpr61d3	emphasis
msxgwvx	emphasis
mspc5o7	aggression
msttv1r	emphasis
ms3gms2	emphasis
mse0ncp	emphasis
mt25w9p	emphasis
msh09pk	frustration
mnwds7y	emphasis
mpcynks	emphasis
mrdvmpf	aggression
mrzcn07	emphasis
mrq2yw6	emphasis
mswf69a	aggression
mqu7d8f	emphasis
mswezv0	ambiguous
mpnvx29	aggression
mrdth2a	ambiguous
mstfw5m	aggression
msubwrj	frustration
msswkq4	emphasis
mrdwg6g	emphasis
mre0k5t	ambiguous
msn6jab	emphasis
mqoy07k	emphasis
mrtrkr82	emphasis
msup56m	aggression
msvekf5	aggression
msw99ux	ambiguous
mrdx736	emphasis
msgrtfr	emphasis
mszk399	aggression
mspapov	emphasis
mr3415m	emphasis
msxfeaw	aggression
mqy6o73	emphasis
mrcs4pn	emphasis
mpo2ok0	bonding
msw1c9f	frustration
msx80g5	emphasis
msysqnx	frustration
mrdysk0	aggression
mqjdtwz	frustration
mqw6uut	emphasis
mqk0oge	emphasis
mqefbgv	aggression
msueunx	frustration
mr3dujk	emphasis
mqfs7h4	aggression
msw0v6a	aggression
mqdi8e1	emphasis
ms2z993	emphasis
mswfssm	emphasis
msxh1ze	bonding
mqtn356	emphasis
moisfxy	emphasis
mt0em5c	aggression
msu4ncl	emphasis
mswhyfg	emphasis
mqsutmo	emphasis
msvklrp	emphasis
mqk7295	emphasis
mr89uvw	emphasis
mt3jtj	aggression
msoxyr2	aggression
mrl93b0	emphasis
mrdxyjg	emphasis
mt0ce0p	bonding
msp4dqe	aggression
mrdwpfs	emphasis
mqt23at	aggression
mqso1fu	emphasis
mq47hnv	emphasis
msuqvtmn	emphasis
mswqi4e	aggression
mshyxmv	aggression
mszq43v	emphasis
mt1oa3v	emphasis
mq7bm21	emphasis
mt086of	aggression
mq6cuwd	emphasis
msxjb80	emphasis
msq8qy0	emphasis
msgx564	aggression
mr4t5hx	emphasis
mq4baan	frustration
mqndqz2	emphasis
mrdt1jt	emphasis
mr6lrql	emphasis
mpqdfma	frustration
mpj8arg	emphasis
mq8bf9w	frustration
mr74v1k	aggression
mstzk3c	emphasis
mqkdy3g	emphasis
mqvwgt1	emphasis
mriim62	ambiguous
mre3szu	emphasis
mrhnv2f	aggression
msn075h	emphasis
msxpz6m	aggression
mswd4l0	emphasis
mpl1p41	emphasis
mre5h1w	emphasis
mrdy78w	emphasis
mptcs17	aggression
mq0i5bc	emphasis
mt0dzsr	aggression
mt3e474	frustration
msrx19a	emphasis
msxny0d	emphasis
mrdz5t7	ambiguous
mqy6qmf	emphasis
mqwwho7	aggression
msva0es	frustration
msuk02d	emphasis
mqokoxt	aggression
mt43tto	frustration
msxpqku	aggression
msgk8w2	ambiguous
mt4264y	emphasis
mq29cdz	ambiguous
mrdhjt9	bonding
mre53w1	ambiguous
mraaelo	aggression
mqeuwjz	emphasis
mswqqd2	ambiguous
msx9ozp	bonding
msxsd84	aggression
mrcu9vd	bonding
msze95k	aggression
mrlxm9z	frustration
mqxox3k	emphasis
mswn6ht	ambiguous
mpkoolk	emphasis
