id	label
mr6dgu9	frustration
msxh1ze	aggression
msn6jab	frustration
mnwds7y	bonding
mswqi4e	aggression
ms5049z	aggression
msup56m	aggression
mswf69a	frustration
mq23sdw	bonding
msw0v6a	aggression
mqso1fu	emphasis
mq4baan	bonding
msed274	emphasis
mt0gf7m	bonding
mq6cuwd	bonding
mr3dujk	emphasis
mrdth2a	bonding
msxypas	frustration
mt3714u	aggression
mrduhcz	emphasis
msk0521	aggression
msxgwvx	frustration
mrdt1jt	frustration
mrdyvmp	emphasis
msgx564	aggression
mt0vt57	emphasis
mpfulq5	bonding
mqdi8e1	bonding
mre4c8q	bonding
msva0es	frustration
mpr61d3	aggression
mpua6vp	bonding
mpj8arg	bonding
mqwwho7	aggression
mnt7t7u	emphasis
mt25w9p	emphasis
mrdy577	emphasis
msuu9wr	frustration
mt0lhw0	aggression
mr1ubnk	emphasis
msp4dqe	emphasis
mrzcn07	frustration
mqrdtbg	aggression
mriuymi	frustration
msofwpy	aggression
mntj7au	emphasis
msvu6fh	aggression
mszq43v	emphasis
mq6zg9h	frustration
